ALE,ALEM,Alemán,,
AMU,ANMU,Análisis Musical, ,
BIO,BIOL,Biología,,
CAS,CAST,Castellano,,
CTM,,Ciencias de la Tierra y Medio ambientales,,
DAR,DART,Dibujo artístico,,
DIS,DISE,Diseño,,
DTE,DITE,Dibujo Técnico,,
ECO,,Economía,,
ELE,,Electrotecnia,,
FIS,FISI,Física,,
FRA,FRAN,Francés ,,
GEO,GEOG,Geografía,,
GRI,GRIE,Griego,,
HAR,HART,Historia del Arte,,
HES,HESP,Historia de España,,
HFI,HFIL,Historia de la Filosofía,,
HMD,HMUS,Historia de la Música y la Danza,,
ING,INGL,Inglés,,
ITA,ITAL,Italiano,,
LAT,LATI,Latín,,
LIT,,Literatura Universal,,
LPM,,Lenguaje y práctica musical,,
MAT,MATE,Matemática,,
MCS,MACS,Matemática Aplicadas a las Ciencias Social,,
POR,,Portugués,,
QUI,QUIM,Química,,
TEG,TEXP,Técnica de Expresión Graf-Plásticas,,
TIN,,Tecnología ,,
VAL,VALE,Valenciano,,
FAR,,Fundamentos del Arte II/Fonaments de l'Art II,,
ARE,ARES,Artes Escénicas,,
CUA,,Cultura audiovisual,,
,COTE,Coro y técnica vocal,,
,DTAP,Dibujo técnico aplicado a las artes plásticas y al diseño II,,
,EMDI,Empresa y diseño de modelos de negocia,,
,FUAR,Fundamentos Artísticos,,
GEL,GECA,Geologia,,
,LITE,Literatura dramática,,
,TEIN,Tecnología e ingeniería II,,